Date;Location;Hive;Pest_DMF ;Pest_ametoctradin;Pest_cyflufenamid;Pest_cymiazole;Pest_difenoconazole ;Pest_dimethomorph;Pest_fenbuconazole ;Pest_fludioxonil ;Pest_fluopicolide ;Pest_fluopyram ;Pest_mandipropamid;Pest_metrafenone ;Pest_pyrimethanil ;Pest_tebuconazole ;Pest_trifloxystrobin;Pest_zoxamide 
03/05/2021;Vineyard;B3;;;;;;;;;;;;;;;;
03/05/2021;Vineyard;N10;;;;;;;;;;;;;;;;
28/05/2021;Vineyard;B3;;20,2;;;;1,8;;;8,7;;;;;;0,2;
28/05/2021;Vineyard;N10;;351,6;6,5;;19,8;78,9;;;0,7;;0,3;;;;;
17/06/2021;Vineyard;B3;;112;;;3,2;5,6;;4,9;22,2;1,1;5,1;26,6;;;7,2;20,1
17/06/2021;Vineyard;N10;;424,3;1,8;;3,2;21,4;1,5;24;117,2;3,4;21,1;59,6;;1,1;18,7;109,4
08/07/2021;Vineyard;B3;;;;;;0,9;;;;;;0,7;;;;5,6
08/07/2021;Vineyard;N10;;;;;;0,3;;;;;;0,7;;;;1
28/07/2021;Vineyard;B3;;;;;;;;;;;;;;;;
28/07/2021;Vineyard;N10;;;;;;;;;;;;;;;;
19/08/2021;Vineyard;B3;;;;;;;;;;;;;;;;
19/08/2021;Vineyard;N10;;;;;;;;;;;;;;;;
09/09/2021;Vineyard;B3;;;;;;;;;;;;0,7;16,8;;;
09/09/2021;Vineyard;N10;;2,8;;;;0,3;;0,7;0,7;;;0,7;176,6;;;
30/09/2021;Vineyard;B3;;;;;;;;0,7;;;;;;;;
30/09/2021;Vineyard;N10;;;;;;;;0,7;;;;0,7;;;;
20/10/2021;Vineyard;B3;3,1;;;;;;;;;;;;;;;
20/10/2021;Vineyard;N10;3,1;;;;;;;;;;;;;;;
03/05/2021;Suburban;B20;;;;;;;;;;;;;;;;
03/05/2021;Suburban;C17;;;;;;;;;;;;;;;;
28/05/2021;Suburban;B20;;;;;;;;;;;;;;;;
28/05/2021;Suburban;C17;;;;;;;;;;;;;;;;
17/06/2021;Suburban;B20;;;;;;;;;;;;;;;;
17/06/2021;Suburban;C17;;;;;;;;;;;;;;;;
08/07/2021;Suburban;B20;;;;;;;;;;;;;;;;
08/07/2021;Suburban;C17;;;;;;;;;;;;;;;;
28/07/2021;Suburban;B20;;;;;;;;;;;;;;;;
28/07/2021;Suburban;C17;;;;;;;;;;;;;;;;
19/08/2021;Suburban;B20;;;;;;;;;;;;;;;;
19/08/2021;Suburban;C17;;;;;;;;;;;;;;;;
09/09/2021;Suburban;B20;;;;2;;;;;;;;;;;;
09/09/2021;Suburban;C17;;;;;;;;;;;;;;;;
30/09/2021;Suburban;B20;;;;;;;;;;;;;;;;
30/09/2021;Suburban;C17;;;;;;;;;;;;;;;;
20/10/2021;Suburban;B20;;;;;;;;;;;;;;;;
20/10/2021;Suburban;C17;3,1;;;;;;;;;;;;;;;
03/05/2021;Forest;B1;;;;;;;;;;;;;;;;
03/05/2021;Forest;N1;;;;;;;;;;;;;;;;
28/05/2021;Forest;B1;;;;;;;;;;;;;;;;
28/05/2021;Forest;N1;;;;;;;;;;;;;;;;
17/06/2021;Forest;B1;;;;;;;;;;;;;;;;
17/06/2021;Forest;N1;;;;;;;;;;;;;;;;
08/07/2021;Forest;B1;;;;;;;;;;;;;;;;
08/07/2021;Forest;N1;;;;;;;;;;;;;;;;
28/07/2021;Forest;B1;;;;;;;;;;;;;;;;
28/07/2021;Forest;N1;;;;;;;;;;;;;;;;
19/08/2021;Forest;B1;;;;;;;;;;;;;;;;
19/08/2021;Forest;N1;;;;;;;;;;;;;;;;
09/09/2021;Forest;B1;;;;2;;;;;;;;;;;;
09/09/2021;Forest;N1;;;;2;;;;;;;;;;;;
30/09/2021;Forest;B1;;;;2;;;;;;;;;;;;
30/09/2021;Forest;N1;;;;2;;;;;;;;;;;;
20/10/2021;Forest;B1;3,1;;;2;;;;;;;;;;;;
20/10/2021;Forest;N1;3,1;;;;;;;;;;;;;;;
03/05/2021;Urban;C2;;;;;;;;;;;;;;;;
03/05/2021;Urban;C21;;;;;;;;;;;;;;;;
28/05/2021;Urban;C2;;;;;;;;;;;;;;;;
28/05/2021;Urban;C21;;;;;;;;;0,7;;1,3;;;;;1
17/06/2021;Urban;C2;;;;;;0,3;;;0,7;;;;;;0,2;1
17/06/2021;Urban;C21;;;;;;0,3;;;0,7;;;;;;0,2;1
08/07/2021;Urban;C2;;;;;;;;;;;;;;;;
08/07/2021;Urban;C21;;;;;;;;;;;;;;;;
28/07/2021;Urban;C2;;;;;;;;;;;;;;;;
28/07/2021;Urban;C21;;;;;;;;;;;;;;;;
19/08/2021;Urban;C2;;;;;;;;;;;;;;;;
19/08/2021;Urban;C21;;;;;;;;;;;;;;;;
09/09/2021;Urban;C2;;;;;;;;;;;;;;;;
09/09/2021;Urban;C21;;;;;;;;;;;;;;;;
30/09/2021;Urban;C2;;;;;;;;;;;;;;;;
30/09/2021;Urban;C21;10,5;;;;;;;;;;;;;;;
20/10/2021;Urban;C2;;;;;;;;;;;;;;;;
20/10/2021;Urban;C21;32;;;;;;;;;;;;;;;
